year,full_name,gender,age,finish_time,finish_time_seconds,previous_time,progression_percentage,vitesse_finish_time,formatted_date_marathon,noc,pos,marathon_city_loc,rank_actual,score_total,half_marathon,QP,time_qualif,time_qualif_seconds,vitesse_qualif,formatted_date_qualif,Height,Weight,Sponsor,Followers,Height_1,Weight_1,Sponsor_1,Followers_1,Year_inauguration,Estimated_Spectators,Denivele_positif,Denivele_negatif,Month_of_Race,Nb_participant_moy,Season
2023,Kenya SONOTA,M,31,02:05:59,7559,7634,-0.01,20.00264585262601,05/03/2023,JPN,8,Tokyo,56,1277,0,25,02:05:59,7559,20.00264585262601,05/03/2023,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2020,Abdi NAGEEYE,M,35,02:07:09,7629,7659,0.0,19.819111285882816,06/12/2020,NED,15,Valencia,58,1276,0,16,02:05:32,7532,20.07434944237918,16/04/2023,165,54,,77700,165,54,,77700,2024,330000,436,438,Aout,88,Summer
2021,Gashau AYALE,M,28,02:09:30,7770,,,19.45945945945946,05/12/2021,ISR,21,Valencia,60,1271,0,10,02:04:53,7493,20.178833578006142,18/02/2024,172,61,,,172,61,,,2024,330000,436,438,Aout,88,Summer
2023,Gashau AYALE,M,28,02:05:33,7533,7829,-0.04,20.071684587813621,19/02/2023,ISR,4,Sevilla,60,1271,0,10,02:04:53,7493,20.178833578006142,18/02/2024,172,61,,,172,61,,,2024,330000,436,438,Aout,88,Summer
2023,Gashau AYALE,M,28,02:05:46,7546,7533,0.0,20.037105751391465,03/12/2023,ISR,10,Valencia,60,1271,0,10,02:04:53,7493,20.178833578006142,18/02/2024,172,61,,,172,61,,,2024,330000,436,438,Aout,88,Summer
2024,Gashau AYALE,M,28,02:04:53,7493,7546,-0.01,20.178833578006142,18/02/2024,ISR,3,Sevilla,60,1271,0,10,02:04:53,7493,20.178833578006142,18/02/2024,172,61,,,172,61,,,2024,330000,436,438,Aout,88,Summer
2024,Tebello RAMAKONGOANA,M,28,02:08:09,7689,7797,-0.01,19.664455715957864,25/02/2024,LES,12,Osaka,62,1268,0,67,02:08:09,7689,19.664455715957864,25/02/2024,175,,,4800,175,,,4800,2024,330000,436,438,Aout,88,Summer
2019,Amanal PETROS,M,29,02:10:29,7829,,,19.312811342444757,01/12/2019,GER,19,Valencia,71,1257,0,11,02:04:58,7498,20.165377433982396,24/09/2023,181,61,,95600,181,61,,95600,2024,330000,436,438,Aout,88,Summer
2020,Amanal PETROS,M,29,02:07:18,7638,7829,-0.02,19.795758051846033,06/12/2020,GER,16,Valencia,71,1257,0,11,02:04:58,7498,20.165377433982396,24/09/2023,181,61,,95600,181,61,,95600,2024,330000,436,438,Aout,88,Summer
2021,Amanal PETROS,M,29,02:06:27,7587,8193,-0.07,19.9288256227758,05/12/2021,GER,11,Valencia,71,1257,0,11,02:04:58,7498,20.165377433982396,24/09/2023,181,61,,95600,181,61,,95600,2024,330000,436,438,Aout,88,Summer
2023,Amanal PETROS,M,29,02:04:58,7498,7622,-0.02,20.165377433982396,24/09/2023,GER,9,Berlin,71,1257,0,11,02:04:58,7498,20.165377433982396,24/09/2023,181,61,,95600,181,61,,95600,2024,330000,436,438,Aout,88,Summer
2019,Morhad AMDOUNI,M,36,02:09:14,7754,,,19.499613102914623,14/04/2019,FRA,8,Paris,73,1256,0,8,02:03:47,7427,20.358152686145147,18/02/2024,175,60,,18000,175,60,,18000,2024,330000,436,438,Aout,88,Summer
2022,Morhad AMDOUNI,M,36,02:05:22,7522,8073,-0.07,20.101036958255779,03/04/2022,FRA,3,Paris,73,1256,0,8,02:03:47,7427,20.358152686145147,18/02/2024,175,60,,18000,175,60,,18000,2024,330000,436,438,Aout,88,Summer
2023,Morhad AMDOUNI,M,36,02:12:45,7965,7522,0.06,18.983050847457626,02/04/2023,FRA,13,Paris,73,1256,0,8,02:03:47,7427,20.358152686145147,18/02/2024,175,60,,18000,175,60,,18000,2024,330000,436,438,Aout,88,Summer
2023,Morhad AMDOUNI,M,36,02:06:55,7615,7965,-0.04,19.855548260013133,03/12/2023,FRA,17,Valencia,73,1256,0,8,02:03:47,7427,20.358152686145147,18/02/2024,175,60,,18000,175,60,,18000,2024,330000,436,438,Aout,88,Summer
2024,Morhad AMDOUNI,M,36,02:03:47,7427,7615,-0.02,20.358152686145147,18/02/2024,FRA,2,Sevilla,73,1256,0,8,02:03:47,7427,20.358152686145147,18/02/2024,175,60,,18000,175,60,,18000,2024,330000,436,438,Aout,88,Summer
2010,Tadesse ABRAHAM,M,42,02:09:24,7764,7846,-0.01,19.474497681607417,26/09/2010,ERI,7,Berlin,76,1253,0,13,02:05:10,7510,20.133155792276963,24/09/2023,178,61,,45000,178,61,,45000,2024,330000,436,438,Aout,88,Summer
2023,Tadesse ABRAHAM,M,42,02:05:10,7510,7603,-0.01,20.133155792276963,24/09/2023,SUI,11,Berlin,76,1253,0,13,02:05:10,7510,20.133155792276963,24/09/2023,178,61,,45000,178,61,,45000,2024,330000,436,438,Aout,88,Summer
2020,Richard RINGER,M,35,02:10:59,7859,,,19.239088942613563,06/12/2020,GER,36,Valencia,78,1251,0,40,02:07:05,7625,19.829508196721314,03/12/2023,182,63,,18700,182,63,,18700,2024,330000,436,438,Aout,88,Summer
2023,Richard RINGER,M,35,02:07:05,7625,7688,-0.01,19.829508196721314,03/12/2023,GER,19,Valencia,78,1251,0,40,02:07:05,7625,19.829508196721314,03/12/2023,182,63,,18700,182,63,,18700,2024,330000,436,438,Aout,88,Summer
2023,Cameron LEVINS,M,35,02:05:36,7536,7629,-0.01,20.063694267515924,05/03/2023,CAN,5,Tokyo,84,1246,1,17,02:05:36,7536,20.063694267515924,05/03/2023,178,65,,15500,178,65,,15500,2024,330000,436,438,Aout,88,Summer
