Rank,meeting_name,country,Start Date,End Date,Participation Score,Result Score,Competition Score,Event URL
121,"Kigali International Peace Marathon, Kigali",RWA,11 JUN 2023,11 JUN 2023,20,8419,8439,https://www.worldathletics.orgNot found
122,"Nationale-Nederlanden Maraton Warszawski, Warszawa",POL,24 SEP 2023,24 SEP 2023,0,8421,8421,https://www.worldathletics.orgNot found
123,"Changde Liuye Lake Marathon, Changde",CHN,29 OCT 2023,29 OCT 2023,0,8364,8364,https://www.worldathletics.orgNot found
124,"Access Bank Lagos City Marathon, Lagos",NGR,04 FEB 2023,04 FEB 2023,0,8361,8361,https://www.worldathletics.orgNot found
125,"Pan American Marathon Championships, Caracas",VEN,19 MAR 2023,19 MAR 2023,0,8352,8352,https://www.worldathletics.orgNot found
125,"Korean Marathon Championships, Chuncheon",KOR,29 OCT 2023,29 OCT 2023,0,8352,8352,https://www.worldathletics.orgNot found
127,"Honolulu Marathon, Kapiolani Park, Honolulu, HI",USA,10 DEC 2023,10 DEC 2023,5,8338,8343,https://www.worldathletics.orgNot found
128,"Nike Melbourne Marathon Festival, Cricket Ground, Melbourne",AUS,15 OCT 2023,15 OCT 2023,0,8342,8342,https://www.worldathletics.orgNot found
129,"Mann Filter Maratón de Zaragoza Caixabank, Zaragoza",ESP,16 APR 2023,16 APR 2023,0,8311,8311,https://www.worldathletics.orgNot found
130,"Gunsan Saemangeum International Marathon, Gunsan",KOR,09 APR 2023,09 APR 2023,0,8304,8304,https://www.worldathletics.orgNot found
131,"Generali Köln Marathon, Köln",GER,01 OCT 2023,01 OCT 2023,0,8287,8287,https://www.worldathletics.orgNot found
132,"Maratona da Cidade do Rio de Janeiro, Rio de Janeiro",BRA,11 JUN 2023,11 JUN 2023,0,8286,8286,https://www.worldathletics.orgNot found
133,"Xi'an Marathon, Xi'an",CHN,29 OCT 2023,29 OCT 2023,0,8280,8280,https://www.worldathletics.orgNot found
134,"Wizz Air Sofia Marathon, Sofia",BUL,08 OCT 2023,08 OCT 2023,0,8252,8252,https://www.worldathletics.orgNot found
135,"NBC Dodoma Marathon, Dodoma",TAN,23 JUL 2023,23 JUL 2023,0,8248,8248,https://www.worldathletics.orgNot found
136,"JUNLEBAO Zheng-Kai International Marathon, Zhengzhou",CHN,16 APR 2023,16 APR 2023,0,8199,8199,https://www.worldathletics.orgNot found
137,"Marathon Vert Rennes Konica Minolta, Rennes",FRA,22 OCT 2023,22 OCT 2023,0,8197,8197,https://www.worldathletics.orgNot found
138,"Maratón Lala, Torreón",MEX,05 MAR 2023,05 MAR 2023,0,8115,8115,https://www.worldathletics.orgNot found
139,"Tel Aviv Marathon, Tel Aviv",ISR,24 FEB 2023,24 FEB 2023,0,8067,8067,https://www.worldathletics.orgNot found
140,"Tokushima Marathon 2023, Tokushima",JPN,19 MAR 2023,19 MAR 2023,20,8034,8054,https://www.worldathletics.orgNot found
141,"Kaohsiung Fubon Marathon, National Stadium, Kaohsiung",TPE,26 NOV 2023,26 NOV 2023,0,8007,8007,https://www.worldathletics.orgNot found
142,"Hokkaido Marathon, Sapporo",JPN,27 AUG 2023,27 AUG 2023,0,7931,7931,https://www.worldathletics.orgNot found
143,"27ª Maratona Int’l de São Paulo, Sao Paolo",BRA,02 APR 2023,02 APR 2023,0,7915,7915,https://www.worldathletics.orgNot found
144,"Maratona di Reggio Emilia - Città del Tricolore, Reggio Emilia",ITA,10 DEC 2023,10 DEC 2023,0,7851,7851,https://www.worldathletics.orgNot found
145,"Curitiba Marathon, Curitiba",BRA,19 NOV 2023,19 NOV 2023,0,7846,7846,https://www.worldathletics.orgNot found
146,"Maratón León, León",MEX,24 SEP 2023,24 SEP 2023,0,7822,7822,https://www.worldathletics.orgNot found
147,"Maratón Puebla, Puebla",MEX,26 NOV 2023,26 NOV 2023,0,7771,7771,https://www.worldathletics.orgNot found
148,"Finnish Marathon Championships, Vantaa",FIN,14 OCT 2023,14 OCT 2023,0,7762,7762,https://www.worldathletics.orgNot found
149,"Shijiazhuang Marathon, Shijiazhuang",CHN,02 APR 2023,02 APR 2023,0,7743,7743,https://www.worldathletics.orgNot found
150,"BMO Vancouver Marathon, Vancouver",CAN,07 MAY 2023,07 MAY 2023,0,7718,7718,https://www.worldathletics.orgNot found
151,"Belfast City Marathon, Belfast",GBR,30 APR 2023,30 APR 2023,0,7704,7704,https://www.worldathletics.orgNot found
152,"Zhoushan Islands Marathon, Zhoushan",CHN,19 NOV 2023,19 NOV 2023,0,7684,7684,https://www.worldathletics.orgNot found
153,"Maratona da Europa, Aveiro",POR,23 APR 2023,23 APR 2023,0,7648,7648,https://www.worldathletics.orgNot found
154,"Amazing Thailand Marathon Bangkok presented by Toyota, Bangkok",THA,03 DEC 2023,03 DEC 2023,0,7580,7580,https://www.worldathletics.orgNot found
155,"FNB Kazungula Bridge Marathon, Kazungula",BOT,25 FEB 2023,25 FEB 2023,0,7557,7557,https://www.worldathletics.orgNot found
156,"BMO Vancouver Half Marathon, Vancouver",CAN,07 MAY 2023,07 MAY 2023,0,7537,7537,https://www.worldathletics.orgNot found
157,"Jakarta Marathon, Jakarta",INA,22 OCT 2023,22 OCT 2023,0,7525,7525,https://www.worldathletics.orgNot found
158,"Perm Marathon, Perm",RUS,02 SEP 2023,02 SEP 2023,0,7514,7514,https://www.worldathletics.orgNot found
159,"Oslo Marathon, Oslo",NOR,16 SEP 2023,16 SEP 2023,0,7465,7465,https://www.worldathletics.orgNot found
160,"Gran Canaria Maspalomas Marathon, San Fernando de Maspalomas",ESP,19 NOV 2023,19 NOV 2023,0,7464,7464,https://www.worldathletics.orgNot found
161,"Marathon d'Annecy, Annecy",FRA,16 APR 2023,16 APR 2023,0,7443,7443,https://www.worldathletics.orgNot found
162,"Raiffeisen Bank Bucharest Marathon, Bucureşti",ROU,15 OCT 2023,15 OCT 2023,0,7419,7419,https://www.worldathletics.orgNot found
163,"Skopje Marathon, Skopje",MKD,01 OCT 2023,01 OCT 2023,0,7391,7391,https://www.worldathletics.orgNot found
