year,full_name,gender,age,finish_time,finish_time_seconds,previous_time,progression_percentage,vitesse_finish_time,formatted_date_marathon,noc,pos,marathon_city_loc,rank_actual,score_total,half_marathon,QP,time_qualif,time_qualif_seconds,vitesse_qualif,formatted_date_qualif,Height,Weight,Sponsor,Followers,Year_inauguration,Estimated_Spectators,Denivele_positif,Denivele_negatif,Month_of_Race,Nb_participant_moy,Season
2020,Oqbe Kibrom RUESOM,M,26,02:05:53,7553.0,7783,-0.03,20.018535681186286,06/12/2020,ERI,11,Valencia,175,1208,1.0,22,02:05:51,7551.0,20.0238379022646,19/03/2023,,,,,2024,330000,436,438,Aout,88,Summer
2023,Christian PACHECO,M,31,02:07:38,7658.0,7748,-0.01,19.744058500914079,19/02/2023,PER,11,Sevilla,183,1205,0.0,53,02:07:38,7658.0,19.744058500914079,19/02/2023,180.0,62.0,,35000.0,2024,330000,436,438,Aout,88,Summer
2023,Samuel FITWI SIBHATU,M,28,02:12:14,7821.0,,-0.03,19.336602738027231,19/02/2023,GER,41,Sevilla,185,1204,0.0,32,02:06:27,7587.0,19.9288256227758,07/01/2024,,,,3665.0,2024,330000,436,438,Aout,88,Summer
2024,Philip SESEMANN,M,32,02:12:58,7828.8,,-0.012499999999999999,19.317302844620215,03/10/2021,GBR,7,London,197,1200,0.0,62,02:08:04,7684.0,19.677251431546068,18/02/2024,,,,30900.0,2024,330000,436,438,Aout,88,Summer
2023,Samuel BARATA,M,31,02:24:15,8155.0,,-0.02,18.610733461099151,03/03/2019,POR,85,Tokyo,199,1200,1.0,50,02:07:35,7655.0,19.751796211626385,03/12/2023,175.0,28.0,,8379.0,2024,330000,436,438,Aout,88,Summer
2024,Ayad LAMDASSEM,M,43,02:09:28,7738.0,8079,-0.0175,19.544467305159507,21/04/2013,ESP,9,London,200,1200,0.0,54,02:07:39,7659.0,19.74148061104583,04/12/2022,170.0,52.0,,40200.0,2024,330000,436,438,Aout,88,Summer
2023,Hugo CATRILEO,M,27,02:15:24,8030.5,,-0.01,18.830770158424478,20/02/2022,CHI,60,Sevilla,206,1198,0.0,68,,,,,,,,,2024,330000,436,438,Aout,88,Summer
2022,Zerei Kbrom MEZNGI,M,38,02:07:10,7630.0,,,19.816513761467888,04/12/2022,NOR,14,Valencia,208,1197,1.0,44,02:07:10,7630.0,19.816513761467888,04/12/2022,,,,3331.0,2024,330000,436,438,Aout,88,Summer
2023,Daniel DO NASCIMENTO,M,26,02:06:11,7645.5,7745,-0.005000000000000001,19.778216989699583,05/12/2021,BRA,9,Valencia,212,1195,0.0,41,02:07:06,7626.0,19.826907946498821,23/04/2023,165.0,55.0,,89600.0,2024,330000,436,438,Aout,88,Summer
2023,Liam ADAMS,M,38,02:12:52,7939.5,8172,0.0,19.044339518655498,24/09/2017,AUS,9,Berlin,219,1192,0.0,69,,,,,,,,,2024,330000,436,438,Aout,88,Summer
